Student_ID,Name,Age,City,Electronics,Programming,Database,Data Science,Mathematics,DSA
STU00001,Aarav Ishaan,18,Bangalore,13,97,0,89,10,39
STU00002,Neha Neha,20,Chennai,23,18,64,29,4,16
STU00003,Riya Vikram,19,Bangalore,62,12,19,77,35,73
STU00004,Kabir Ishaan,19,Mumbai,67,91,7,52,100,50
STU00005,Aarav Meera,19,Kolkata,58,31,62,40,41,28
STU00006,Vikram Ananya,22,Mumbai,94,72,59,67,37,24
STU00007,Neha Neha,18,Hyderabad,17,98,36,3,53,91
STU00008,Ishaan Meera,18,Delhi,43,66,24,88,72,41
STU00009,Vikram Kabir,20,Mumbai,11,1,87,94,72,81
STU00010,Ishaan Aarav,19,Mumbai,95,9,70,68,54,96
STU00011,Ishaan Ananya,18,Kolkata,65,2,34,68,66,37
STU00012,Neha Vikram,21,Kolkata,66,33,78,25,16,36
STU00013,Ananya Kabir,18,Hyderabad,72,48,50,39,47,23
STU00014,Meera Meera,22,Delhi,88,69,57,29,98,61
STU00015,Ishaan Meera,19,Mumbai,85,48,52,11,60,40
STU00016,Neha Vikram,20,Mumbai,43,66,28,65,12,76
STU00017,Neha Meera,19,Delhi,24,34,83,75,29,8
STU00018,Neha Riya,20,Delhi,73,52,60,13,36,77
STU00019,Meera Aarav,22,Kolkata,5,26,34,77,86,27
STU00020,Vikram Kabir,22,Hyderabad,100,24,35,23,96,56
STU00021,Ananya Ishaan,19,Delhi,96,29,61,24,16,48
STU00022,Neha Vikram,21,Kolkata,62,26,76,67,26,72
STU00023,Ishaan Neha,18,Kolkata,22,95,26,10,85,16
STU00024,Kabir Aarav,18,Mumbai,73,93,29,18,51,15
STU00025,Ishaan Aarav,18,Chennai,99,45,99,89,31,93
STU00026,Ishaan Meera,20,Chennai,9,49,69,94,72,40
STU00027,Riya Aarav,19,Chennai,20,0,36,60,81,71
STU00028,Kabir Meera,20,Mumbai,32,90,39,94,57,28
STU00029,Kabir Vikram,18,Hyderabad,17,11,65,21,32,16
STU00030,Neha Riya,22,Kolkata,31,95,14,15,62,52
STU00031,Aarav Kabir,21,Delhi,87,59,66,50,15,58
STU00032,Neha Kabir,18,Bangalore,58,61,44,55,51,15
STU00033,Kabir Kabir,21,Hyderabad,27,76,41,50,3,65
STU00034,Vikram Ananya,19,Kolkata,57,10,55,12,45,72
STU00035,Ishaan Ishaan,18,Kolkata,5,6,21,31,20,55
STU00036,Ishaan Kabir,20,Hyderabad,55,80,70,80,27,76
STU00037,Ishaan Vikram,20,Hyderabad,83,49,94,24,18,90
STU00038,Riya Ananya,19,Kolkata,21,7,11,56,70,99
STU00039,Ishaan Ishaan,19,Chennai,68,65,63,91,54,83
STU00040,Neha Ananya,21,Chennai,57,18,70,16,82,8
STU00041,Riya Vikram,22,Mumbai,80,77,47,19,86,20
STU00042,Vikram Ananya,18,Chennai,14,84,23,1,77,33
STU00043,Kabir Riya,19,Kolkata,4,95,17,9,42,22
STU00044,Vikram Riya,22,Bangalore,75,37,45,23,50,77
STU00045,Neha Riya,19,Hyderabad,18,74,43,100,94,82
STU00046,Aarav Meera,20,Bangalore,52,72,66,70,85,92
STU00047,Kabir Ananya,18,Kolkata,39,90,66,2,87,94
STU00048,Ishaan Aarav,19,Chennai,22,6,1,78,66,42
STU00049,Ananya Kabir,22,Mumbai,70,65,19,18,33,17
STU00050,Neha Neha,19,Chennai,92,6,61,59,100,16
STU00051,Neha Meera,18,Delhi,89,8,70,19,49,68
STU00052,Riya Vikram,22,Chennai,93,31,66,82,8,24
STU00053,Neha Vikram,20,Hyderabad,18,3,36,3,50,2
STU00054,Riya Neha,20,Bangalore,22,12,18,48,35,45
STU00055,Ishaan Aarav,22,Hyderabad,55,36,58,89,92,34
STU00056,Neha Ishaan,19,Bangalore,18,84,31,49,58,8
STU00057,Meera Neha,18,Delhi,81,59,34,14,89,27
STU00058,Ishaan Neha,20,Chennai,39,93,15,93,28,34
STU00059,Ishaan Riya,21,Delhi,76,96,70,22,61,51
STU00060,Riya Ishaan,22,Bangalore,100,28,25,95,34,56
STU00061,Riya Ishaan,21,Bangalore,56,67,21,20,5,88
STU00062,Neha Neha,22,Bangalore,32,100,27,100,24,50
